,id,casts,genres,title,vote_count,ratings
134,284052,"[71580, 5294, 53714]","[{'name': '액션'}, {'name': '모험'}, {'name': '판타지'}, {'name': 'SF'}]",닥터 스트레인지,18455,7.4
135,823610,"[198847, 18999, 29528]","[{'name': '애니메이션'}, {'name': '가족'}, {'name': '코미디'}]",씰 팀,126,7.1
136,862491,"[206399, 968367, 783]","[{'name': '애니메이션'}, {'name': '액션'}, {'name': '범죄'}]",캣우먼: 헌티드,25,6.1
137,929436,"[3391672, 2086212, 76514]","[{'name': '드라마'}, {'name': '전쟁'}]",우리 죄를 사하여 주옵소서,26,6.3
138,24428,"[3223, 16828, 103]","[{'name': 'SF'}, {'name': '액션'}, {'name': '모험'}]",어벤져스,26467,7.7
139,831827,[],"[{'name': '애니메이션'}, {'name': '가족'}]",나무 저 너머엔,194,8.1
140,632357,"[47296, 2067034, 6573]",[{'name': '공포'}],더 언홀리,1539,6.8
141,671,"[10980, 10989, 10990]","[{'name': '모험'}, {'name': '판타지'}]",해리 포터와 마법사의 돌,22191,7.9
142,631843,"[258, 1080195, 17328]","[{'name': '스릴러'}, {'name': '미스터리'}, {'name': '공포'}]",올드,2280,6.6
143,839436,"[216988, 2760967, 3122182]","[{'name': '공포'}, {'name': '판타지'}, {'name': '미스터리'}]",던전 드래곤,32,6.1
144,672582,"[1118978, 1128902, 136438]",[{'name': '공포'}],딥 하우스,524,6.5
145,454626,"[222121, 11006, 206]","[{'name': '액션'}, {'name': 'SF'}, {'name': '코미디'}, {'name': '가족'}]",수퍼 소닉,7549,7.4
146,763148,"[98285, 2849483, 2762412]","[{'name': '로맨스'}, {'name': '드라마'}]",타임 이즈 업,245,6.3
147,525660,"[78875, 1559226, 96958]","[{'name': '액션'}, {'name': '모험'}, {'name': '판타지'}]",진삼국무쌍,82,6.7
148,588921,"[7572, 1346997, 1305667]","[{'name': '모험'}, {'name': '애니메이션'}, {'name': '가족'}, {'name': '판타지'}]",아인보: 스피릿 오브 디 아마존,285,7.1
149,13811,"[2963, 9827, 77334]","[{'name': '액션'}, {'name': '미스터리'}, {'name': 'SF'}, {'name': '스릴러'}]",노잉,4248,6.1
150,317442,"[82055, 24651, 131563]","[{'name': '액션'}, {'name': '로맨스'}, {'name': '애니메이션'}]",나루토 질풍전 극장판 7기 - 더 라스트 - 나루토 더 무비,1136,7.9
151,670429,"[1803286, 1371456, 31167]","[{'name': '판타지'}, {'name': '공포'}, {'name': '스릴러'}, {'name': '드라마'}]",Witch Hunt,141,7.2
152,429617,"[1136406, 2231, 131]","[{'name': '액션'}, {'name': '모험'}, {'name': 'SF'}]",스파이더맨: 파 프롬 홈,12160,7.5
153,896221,"[84223, 12111, 77330]","[{'name': '애니메이션'}, {'name': '판타지'}, {'name': '가족'}]",Trolls Holiday in Harmony,100,7.6
154,81774,"[592458, 41163, 9919]","[{'name': '코미디'}, {'name': '드라마'}]",돈 쥬앙,88,5.5
155,920143,"[1003394, 2597263, 3359137]",[{'name': '코미디'}],El paseo 6,5,3.5
156,303857,"[90496, 122501, 115305]","[{'name': '액션'}, {'name': '애니메이션'}, {'name': 'SF'}]",드래곤볼 Z - 부활의 'F',1358,6.8
157,772272,"[2398197, 971299, 1152083]","[{'name': '코미디'}, {'name': '드라마'}, {'name': '로맨스'}]",톨 걸 2,120,6.0
158,557,"[2219, 5293, 205]","[{'name': '판타지'}, {'name': '액션'}]",스파이더맨,15323,7.2
159,354912,"[1193391, 258, 4589]","[{'name': '가족'}, {'name': '애니메이션'}, {'name': '판타지'}, {'name': '음악'}, {'name': '코미디'}, {'name': '모험'}]",코코,15341,8.2
160,760517,"[1471054, 1904058, 1257661]","[{'name': '로맨스'}, {'name': '코미디'}]",모럴센스,67,6.3
161,299534,"[3223, 16828, 103]","[{'name': '모험'}, {'name': 'SF'}, {'name': '액션'}]",어벤져스: 엔드게임,20503,8.3
162,347201,"[1201637, 1246233, 82055]","[{'name': '애니메이션'}, {'name': '액션'}, {'name': '코미디'}]",보루토 - 나루토 더 무비,995,7.7
163,859041,"[113788, 2869013, 52908]",[{'name': '액션'}],疯狂的拳头,44,7.3
